,Country ID,Religion,Reason For Leaving,Child Language,Reason Not Attending Regularly,HealthStaIssueFollowupStatus,VaccinationIssueFollowupStatus,total_Visit,Father Employment,Child Lives With,EducationIssue Followup Status,Sisters,Gender,Mother Employment,Attend Edu Voc Learn Regularly,Brothers,age,Favorite Subject,Project ID,NutritionIssue Followup Status,years_sponsorchip,nutritional_status_MUAC,v_Bacillus_BCG,v_Tetanus_DPT3,Attend Edu Voc Learn Regularly
2,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,20.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0,6.0,87.0,189401.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,9.0,54.0,203054.0,0.0,0.0,0.0,0.0,0.0,2.0
13,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,7.0,19.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
14,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,191492.0,0.0,2.0,0.0,1.0,1.0,2.0
15,3.0,19.0,0.0,15715.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,87.0,190473.0,0.0,0.0,0.0,0.0,0.0,0.0
16,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,6.0,0.0,3.0,0.0,2.0,6.0,87.0,189401.0,0.0,3.0,0.0,0.0,0.0,0.0
18,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,87.0,191492.0,0.0,0.0,0.0,1.0,1.0,0.0
25,6.0,10.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,6.0,1.0,191492.0,0.0,0.0,0.0,1.0,1.0,2.0
27,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,5.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
28,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,9.0,1.0,203054.0,0.0,0.0,0.0,0.0,0.0,2.0
29,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,8.0,54.0,189401.0,0.0,0.0,0.0,0.0,0.0,2.0
35,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,87.0,191492.0,0.0,0.0,0.0,1.0,1.0,0.0
39,6.0,11.0,0.0,15523.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,11.0,7.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
41,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,6.0,10.0,191492.0,0.0,0.0,0.0,1.0,1.0,2.0
42,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
47,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
48,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,8.0,9.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
49,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,7.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
50,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,6.0,87.0,191492.0,0.0,0.0,0.0,0.0,0.0,0.0
51,3.0,12.0,0.0,15476.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,2.0,190473.0,0.0,3.0,0.0,0.0,0.0,2.0
53,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,6.0,54.0,203054.0,0.0,0.0,0.0,0.0,0.0,2.0
54,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,7.0,1.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
55,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,24.0,185162.0,0.0,0.0,0.0,0.0,0.0,2.0
57,1.0,0.0,0.0,12695.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,6.0,9.0,184150.0,0.0,0.0,0.0,1.0,0.0,2.0
60,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,16.0,3.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,7.0,87.0,189401.0,0.0,2.0,0.0,0.0,0.0,0.0
61,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,13.0,38.0,185162.0,0.0,3.0,0.0,0.0,0.0,2.0
65,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,11.0,38.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
69,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,3.0,2.0,0.0,9.0,2.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
70,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,7.0,10.0,191492.0,0.0,2.0,0.0,0.0,2.0,2.0
72,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,6.0,1.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
79,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,1.0,191492.0,0.0,0.0,0.0,1.0,1.0,2.0
85,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,87.0,203054.0,0.0,2.0,0.0,0.0,0.0,0.0
86,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,17.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,6.0,87.0,189401.0,0.0,3.0,0.0,0.0,0.0,0.0
88,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,8.0,54.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
92,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,10.0,7.0,191492.0,0.0,0.0,0.0,0.0,0.0,2.0
93,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,87.0,191492.0,0.0,3.0,0.0,1.0,1.0,0.0
95,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,7.0,13.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
96,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,87.0,203054.0,0.0,2.0,0.0,0.0,0.0,0.0
100,6.0,11.0,0.0,15523.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,9.0,38.0,185162.0,0.0,3.0,0.0,0.0,0.0,2.0
101,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,87.0,189401.0,0.0,2.0,0.0,0.0,0.0,0.0
102,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,87.0,191492.0,0.0,0.0,0.0,1.0,0.0,0.0
104,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,6.0,18.0,203054.0,0.0,3.0,0.0,0.0,0.0,2.0
109,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,8.0,54.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
113,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,7.0,1.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
115,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,0.0,3.0,2.0,2.0,7.0,2.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
124,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,5.0,87.0,191492.0,0.0,0.0,0.0,1.0,1.0,0.0
126,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,8.0,2.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
127,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,10.0,7.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
129,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,5.0,87.0,191492.0,0.0,0.0,0.0,1.0,1.0,0.0
134,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,38.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
136,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,10.0,7.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
139,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,87.0,191492.0,0.0,2.0,0.0,1.0,1.0,0.0
142,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,2.0,203054.0,0.0,3.0,0.0,0.0,0.0,2.0
145,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,87.0,189401.0,0.0,2.0,0.0,0.0,0.0,0.0
148,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,3.0,2.0,2.0,6.0,2.0,203054.0,0.0,0.0,0.0,0.0,0.0,2.0
152,7.0,0.0,0.0,11028.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,87.0,189401.0,0.0,0.0,0.0,0.0,0.0,0.0
157,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,10.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
160,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,21.0,185162.0,0.0,0.0,0.0,0.0,0.0,2.0
167,6.0,12.0,0.0,21972.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,87.0,191492.0,0.0,2.0,0.0,1.0,1.0,0.0
173,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,7.0,54.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
176,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,7.0,21.0,191492.0,0.0,0.0,0.0,0.0,0.0,2.0
178,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,13.0,22.0,185162.0,0.0,2.0,0.0,0.0,0.0,2.0
181,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,1.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
185,6.0,12.0,0.0,21972.0,0.0,0.0,4.0,11.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,1.0,191492.0,4.0,3.0,0.0,1.0,1.0,2.0
186,6.0,12.0,0.0,21972.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,6.0,10.0,191492.0,0.0,0.0,0.0,1.0,1.0,2.0
187,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,2.0,2.0,8.0,19.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
190,3.0,12.0,0.0,15476.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,87.0,190473.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,1.0,3.0,2.0,1.0,10.0,16.0,203054.0,0.0,2.0,0.0,0.0,0.0,2.0
196,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,9.0,7.0,185162.0,0.0,0.0,0.0,0.0,0.0,2.0
198,2.0,0.0,0.0,13229.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,6.0,54.0,203054.0,0.0,0.0,0.0,0.0,0.0,2.0
200,6.0,12.0,0.0,15523.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,15.0,7.0,185162.0,0.0,0.0,0.0,0.0,0.0,2.0
